Hyperbolic,SMILES
"[1.3169579  1.31695403 1.31695499 1.31695404 1.31695305 1.31695403
 1.31695502 1.31695305 1.3169521  1.31695502 1.31695013 1.31695499
 1.316955   1.31695305 1.31695403 1.31695308 1.31695401 1.31695597
 1.31695408 1.31695499 1.31695499 1.31695596 1.31695499 1.31695499
 1.31695499 1.31695693 1.31695693 1.31695401 1.31695693 1.316955
 1.31695596 1.31695305 1.31695305 1.31695309 1.31695305 1.31695596
 1.316955   1.3169502  1.31695502 1.31695209 1.31695308 1.31695407
 1.31695693 1.31695408 1.31695308 1.31695499 1.31695502 1.3169492
 1.31695306 1.31695112 1.31695502]",CCCCOC(=O)C(C)OC(=O)CCC
"[1.31695403 1.3169579  1.31695308 1.31695596 1.31695693 1.31695596
 1.31695693 1.31695499 1.31695401 1.31695693 1.31695209 1.31695308
 1.31695305 1.31695499 1.31695401 1.31695499 1.31695209 1.31695214
 1.31695597 1.31695308 1.31695305 1.31695403 1.31695305 1.31695308
 1.31695499 1.31695308 1.31695308 1.31695402 1.31695308 1.31695305
 1.31695403 1.31695499 1.31695499 1.31695499 1.31695308 1.31695403
 1.31695305 1.31695027 1.31695693 1.31695401 1.31695499 1.31695597
 1.31695499 1.31695597 1.31695499 1.31695693 1.31695693 1.3169512
 1.31695499 1.31695308 1.31695693]",CC(C)CC(=O)O
"[1.31695499 1.31695308 1.3169579  1.31695309 1.31695403 1.31695502
 1.31695408 1.31695209 1.31695114 1.31695408 1.31694917 1.3169579
 1.31695597 1.31695209 1.31695113 1.31695213 1.31695499 1.31695499
 1.31695314 1.3169579  1.31695597 1.31695693 1.31695597 1.3169579
 1.31695209 1.31695596 1.31695402 1.3169511  1.31695596 1.31695597
 1.31695499 1.31695209 1.31695209 1.31695213 1.31695013 1.31695693
 1.31695597 1.31694726 1.31695408 1.31695114 1.31695213 1.31695314
 1.31695597 1.31695314 1.31695213 1.31695209 1.31695408 1.31694822
 1.31695209 1.31695013 1.31695408]",CCCCCCCCC(=O)O
"[1.31695404 1.31695596 1.31695309 1.3169579  1.31695499 1.31695596
 1.31695693 1.31695499 1.31695401 1.31695693 1.31695209 1.31695309
 1.31695305 1.31695499 1.31695401 1.316955   1.3169521  1.31695214
 1.31695597 1.31695309 1.31695305 1.31695404 1.31695305 1.31695309
 1.31695499 1.31695309 1.31695309 1.31695402 1.31695309 1.31695305
 1.31695404 1.316955   1.31695499 1.31695499 1.31695308 1.31695404
 1.31695305 1.31695027 1.31695693 1.31695401 1.31695499 1.31695597
 1.316955   1.31695597 1.31695499 1.31695499 1.31695693 1.3169512
 1.31695499 1.31695308 1.31695693]",CCC(C)CC(=O)O
"[1.31695305 1.31695693 1.31695403 1.31695499 1.3169579  1.31695693
 1.31695597 1.31695401 1.31695305 1.31695597 1.31695111 1.31695403
 1.31695207 1.31695401 1.31695304 1.31695403 1.31695111 1.31695114
 1.31695502 1.31695403 1.31695207 1.31695305 1.31695207 1.31695403
 1.31695401 1.31695209 1.31695209 1.31695304 1.31695209 1.31695207
 1.31695305 1.31695401 1.31695401 1.31695403 1.31695209 1.31695305
 1.31695207 1.31694926 1.31695597 1.31695305 1.31695403 1.31695502
 1.31695401 1.31695502 1.31695403 1.31695596 1.31695597 1.3169502
 1.31695401 1.31695209 1.31695597]",CC(C)CCC(=O)O
"[1.31695403 1.31695596 1.31695502 1.31695596 1.31695693 1.3169579
 1.31695693 1.31695499 1.31695401 1.31695693 1.31695209 1.31695502
 1.31695305 1.31695499 1.31695401 1.31695499 1.31695209 1.31695214
 1.31695597 1.31695502 1.31695305 1.31695403 1.31695305 1.31695502
 1.31695499 1.31695308 1.31695308 1.31695402 1.31695308 1.31695305
 1.31695403 1.31695499 1.31695499 1.31695499 1.31695308 1.31695403
 1.31695305 1.31695027 1.31695693 1.31695401 1.31695499 1.31695597
 1.31695499 1.31695597 1.31695499 1.31695499 1.31695693 1.31695121
 1.31695499 1.31695308 1.31695693]",CCCC(=O)O
"[1.31695502 1.31695693 1.31695408 1.31695693 1.31695597 1.31695693
 1.3169579  1.31695597 1.31695499 1.3169579  1.31695308 1.31695408
 1.31695403 1.31695597 1.31695498 1.31695595 1.31695308 1.31695314
 1.31695693 1.31695408 1.31695403 1.31695502 1.31695403 1.31695408
 1.31695597 1.31695408 1.31695408 1.31695501 1.31695408 1.31695403
 1.31695502 1.31695597 1.31695597 1.31695595 1.31695408 1.31695502
 1.31695403 1.31695129 1.3169579  1.31695499 1.31695595 1.31695693
 1.31695597 1.31695693 1.31695595 1.31695597 1.3169579  1.31695221
 1.31695597 1.31695408 1.3169579 ]",CCC(C)C(=O)O
"[1.31695305 1.31695499 1.31695209 1.31695499 1.31695401 1.31695499
 1.31695597 1.3169579  1.31695499 1.31695597 1.31695111 1.31695209
 1.31695207 1.31695401 1.31695304 1.31695403 1.31695111 1.31695114
 1.31695502 1.31695209 1.31695207 1.31695305 1.31695207 1.31695209
 1.31695401 1.31695209 1.31695209 1.31695304 1.31695209 1.31695207
 1.31695305 1.31695401 1.31695401 1.31695403 1.31695209 1.31695305
 1.31695207 1.31694926 1.31695597 1.31695305 1.31695403 1.31695502
 1.31695401 1.31695502 1.31695403 1.31695401 1.31695597 1.3169502
 1.31695401 1.31695209 1.31695597]",C1CC(C1)C(=O)O
"[1.3169521  1.31695401 1.31695114 1.31695401 1.31695305 1.31695401
 1.31695499 1.31695499 1.3169579  1.31695499 1.31695403 1.31695114
 1.31695305 1.31695499 1.31695401 1.31695499 1.31695209 1.3169502
 1.31695597 1.31695114 1.31695305 1.31695209 1.31695305 1.31695114
 1.316955   1.31695114 1.31695114 1.31695403 1.31695114 1.31695305
 1.31695209 1.31695305 1.31695305 1.31695499 1.31695309 1.31695209
 1.31695305 1.31695028 1.31695499 1.31695401 1.31695499 1.31695597
 1.31695305 1.31695597 1.31695499 1.31695305 1.31695499 1.31694926
 1.31695305 1.31695114 1.31695499]",C1=CC=C(C=C1)C=O
"[1.31695502 1.31695693 1.31695408 1.31695693 1.31695597 1.31695693
 1.3169579  1.31695597 1.31695499 1.3169579  1.31695308 1.31695408
 1.31695403 1.31695597 1.31695498 1.31695595 1.31695308 1.31695314
 1.31695693 1.31695408 1.31695403 1.31695502 1.31695403 1.31695408
 1.31695597 1.31695408 1.31695408 1.31695501 1.31695408 1.31695403
 1.31695502 1.31695597 1.31695597 1.31695595 1.31695408 1.31695502
 1.31695403 1.31695129 1.3169579  1.31695499 1.31695595 1.31695693
 1.31695597 1.31695693 1.31695595 1.31695597 1.3169579  1.31695221
 1.31695597 1.31695408 1.3169579 ]",CC(C(C)O)O
"[1.31695013 1.31695209 1.31694917 1.31695209 1.31695111 1.31695209
 1.31695308 1.31695111 1.31695403 1.31695308 1.3169579  1.31694917
 1.31695111 1.31695305 1.31695208 1.31695308 1.31695013 1.31694821
 1.31695408 1.31694917 1.31695111 1.31695013 1.31695111 1.31694917
 1.31695305 1.31694917 1.31694917 1.31695207 1.31694917 1.31695111
 1.31695013 1.31695111 1.31695111 1.31695308 1.31695111 1.31695013
 1.31695111 1.31694826 1.31695308 1.31695209 1.31695308 1.31695407
 1.31695111 1.31695408 1.31695308 1.31695111 1.31695308 1.31695114
 1.31695111 1.31694917 1.31695308]",C1=CC=C2C(=C1)C=CC(=O)O2
"[1.31695499 1.31695308 1.3169579  1.31695309 1.31695403 1.31695502
 1.31695408 1.31695209 1.31695114 1.31695408 1.31694917 1.3169579
 1.31695597 1.31695209 1.31695113 1.31695213 1.31695499 1.31695499
 1.31695314 1.3169579  1.31695597 1.31695693 1.31695597 1.3169579
 1.31695209 1.31695596 1.31695402 1.3169511  1.31695596 1.31695597
 1.31695499 1.31695209 1.31695209 1.31695213 1.31695013 1.31695693
 1.31695597 1.31694726 1.31695408 1.31695114 1.31695213 1.31695314
 1.31695597 1.31695314 1.31695213 1.31695209 1.31695408 1.31694822
 1.31695209 1.31695013 1.31695408]",CCCCCCCC(=O)O
"[1.316955   1.31695305 1.31695597 1.31695305 1.31695207 1.31695305
 1.31695403 1.31695207 1.31695305 1.31695403 1.31695111 1.31695597
 1.3169579  1.31695207 1.31695305 1.31695403 1.31695693 1.31695503
 1.31695502 1.31695597 1.3169579  1.31695693 1.3169579  1.31695597
 1.31695208 1.31695598 1.31695404 1.31695111 1.31695598 1.3169579
 1.31695499 1.31695207 1.31695207 1.31695403 1.31695016 1.31695693
 1.3169579  1.31694733 1.31695403 1.31695305 1.31695403 1.31695502
 1.31695596 1.31695502 1.31695403 1.31695208 1.31695403 1.31694825
 1.31695207 1.31695015 1.31695403]",CCCCCCCC=O
"[1.31695305 1.31695499 1.31695209 1.31695499 1.31695401 1.31695499
 1.31695597 1.31695401 1.31695499 1.31695597 1.31695305 1.31695209
 1.31695207 1.3169579  1.31695304 1.31695403 1.31695111 1.31695114
 1.31695502 1.31695209 1.31695207 1.31695305 1.31695207 1.31695209
 1.31695596 1.31695209 1.31695209 1.31695498 1.31695209 1.31695207
 1.31695305 1.31695401 1.31695401 1.31695403 1.31695403 1.31695305
 1.31695207 1.3169512  1.31695597 1.31695305 1.31695403 1.31695502
 1.31695401 1.31695502 1.31695403 1.31695401 1.31695597 1.3169502
 1.31695401 1.31695209 1.31695597]",C1=CC=C(C=C1)C(=O)C2=CC=CC=C2
"[1.31695403 1.31695401 1.31695113 1.31695401 1.31695304 1.31695401
 1.31695498 1.31695304 1.31695401 1.31695498 1.31695208 1.31695113
 1.31695305 1.31695304 1.3169579  1.31695498 1.31695208 1.31695213
 1.31695596 1.31695113 1.31695304 1.31695208 1.31695304 1.31695113
 1.31695499 1.31695308 1.31695308 1.31695403 1.31695308 1.31695305
 1.31695209 1.31695304 1.31695305 1.31695499 1.31695308 1.31695208
 1.31695305 1.31695027 1.31695498 1.31695401 1.31695498 1.31695596
 1.31695304 1.31695597 1.31695498 1.31695499 1.31695498 1.31694926
 1.31695305 1.31695114 1.31695498]",COC1=C(C=C(C=C1)CC=C)OC
"[1.31695308 1.31695499 1.31695213 1.316955   1.31695403 1.31695499
 1.31695595 1.31695403 1.31695499 1.31695595 1.31695308 1.31695213
 1.31695403 1.31695403 1.31695498 1.3169579  1.31695308 1.3169512
 1.31695693 1.31695213 1.31695403 1.31695308 1.31695403 1.31695213
 1.31695403 1.31695213 1.31695213 1.31695307 1.31695213 1.31695403
 1.31695308 1.31695403 1.31695403 1.31695595 1.31695213 1.31695308
 1.31695403 1.31694935 1.31695595 1.31695499 1.31695595 1.31695693
 1.31695403 1.31695693 1.31695595 1.31695403 1.31695595 1.31695027
 1.31695403 1.31695213 1.31695595]",CC1=CC=C(C=C1)C(C)C
"[1.31695401 1.31695209 1.31695499 1.3169521  1.31695111 1.31695209
 1.31695308 1.31695111 1.31695209 1.31695308 1.31695013 1.31695499
 1.31695693 1.31695111 1.31695208 1.31695308 1.3169579  1.31695403
 1.31695408 1.31695499 1.31695693 1.31695596 1.31695693 1.31695499
 1.31695111 1.31695499 1.31695305 1.31695012 1.31695499 1.31695693
 1.31695401 1.31695111 1.31695111 1.31695308 1.31694917 1.31695596
 1.31695693 1.31694632 1.31695308 1.31695403 1.31695308 1.31695408
 1.31695499 1.31695408 1.31695308 1.31695111 1.31695308 1.31694726
 1.31695111 1.31694917 1.31695308]",CCCCCCCC1CCC(=O)O1
"[1.31695597 1.31695214 1.31695499 1.31695214 1.31695114 1.31695214
 1.31695314 1.31695114 1.3169502  1.31695314 1.31694821 1.31695499
 1.31695503 1.31695114 1.31695213 1.3169512  1.31695403 1.3169579
 1.31695221 1.31695499 1.31695502 1.31695597 1.31695502 1.31695499
 1.31695308 1.31695693 1.31695499 1.31695209 1.31695693 1.31695503
 1.31695404 1.31695114 1.31695115 1.31695121 1.31695111 1.31695597
 1.31695503 1.31694821 1.31695314 1.31695019 1.3169512  1.31695221
 1.31695502 1.31695222 1.3169512  1.31695308 1.31695314 1.31694723
 1.31695115 1.31694918 1.31695314]",CCCCCCCC(=O)OCC
"[1.31695408 1.31695597 1.31695314 1.31695597 1.31695502 1.31695597
 1.31695693 1.31695502 1.31695597 1.31695693 1.31695408 1.31695314
 1.31695502 1.31695502 1.31695596 1.31695693 1.31695408 1.31695221
 1.3169579  1.31695314 1.31695502 1.31695408 1.31695502 1.31695314
 1.31695502 1.31695314 1.31695314 1.31695407 1.31695314 1.31695502
 1.31695408 1.31695502 1.31695502 1.31695693 1.31695314 1.31695408
 1.31695502 1.31695038 1.31695693 1.31695597 1.31695693 1.3169579
 1.31695502 1.3169579  1.31695693 1.31695502 1.31695693 1.31695129
 1.31695502 1.31695314 1.31695693]",C1CCNCC1
"[1.31695499 1.31695308 1.3169579  1.31695309 1.31695403 1.31695502
 1.31695408 1.31695209 1.31695114 1.31695408 1.31694917 1.3169579
 1.31695597 1.31695209 1.31695113 1.31695213 1.31695499 1.31695499
 1.31695314 1.3169579  1.31695597 1.31695693 1.31695597 1.3169579
 1.31695209 1.31695596 1.31695402 1.3169511  1.31695596 1.31695597
 1.31695499 1.31695209 1.31695209 1.31695213 1.31695013 1.31695693
 1.31695597 1.31694726 1.31695408 1.31695114 1.31695213 1.31695314
 1.31695597 1.31695314 1.31695213 1.31695209 1.31695408 1.31694822
 1.31695209 1.31695013 1.31695408]",CCCCCCC(=O)O
"[1.31695499 1.31695305 1.31695597 1.31695305 1.31695207 1.31695305
 1.31695403 1.31695207 1.31695305 1.31695403 1.31695111 1.31695597
 1.3169579  1.31695207 1.31695304 1.31695403 1.31695693 1.31695502
 1.31695502 1.31695597 1.3169579  1.31695693 1.3169579  1.31695597
 1.31695207 1.31695597 1.31695403 1.3169511  1.31695597 1.3169579
 1.31695499 1.31695207 1.31695207 1.31695403 1.31695015 1.31695693
 1.3169579  1.31694732 1.31695403 1.31695305 1.31695403 1.31695502
 1.31695596 1.31695502 1.31695403 1.31695207 1.31695403 1.31694826
 1.31695207 1.31695015 1.31695403]",CCCCCCN
"[1.31695596 1.31695403 1.31695693 1.31695404 1.31695305 1.31695403
 1.31695502 1.31695305 1.31695209 1.31695502 1.31695013 1.31695693
 1.31695693 1.31695305 1.31695208 1.31695308 1.31695596 1.31695597
 1.31695408 1.31695693 1.31695693 1.3169579  1.31695693 1.31695693
 1.31695305 1.31695693 1.31695499 1.31695207 1.31695693 1.31695693
 1.31695596 1.31695305 1.31695305 1.31695308 1.31695111 1.3169579
 1.31695693 1.31694826 1.31695502 1.31695209 1.31695308 1.31695407
 1.31695693 1.31695408 1.31695308 1.31695305 1.31695502 1.3169492
 1.31695305 1.31695111 1.31695502]",CCCCCCO
"[1.31695499 1.31695305 1.31695597 1.31695305 1.31695207 1.31695305
 1.31695403 1.31695207 1.31695305 1.31695403 1.31695111 1.31695597
 1.3169579  1.31695207 1.31695304 1.31695403 1.31695693 1.31695502
 1.31695502 1.31695597 1.3169579  1.31695693 1.3169579  1.31695597
 1.31695207 1.31695597 1.31695403 1.3169511  1.31695597 1.3169579
 1.31695499 1.31695207 1.31695207 1.31695403 1.31695015 1.31695693
 1.3169579  1.31694732 1.31695403 1.31695305 1.31695403 1.31695502
 1.31695596 1.31695502 1.31695403 1.31695207 1.31695403 1.31694826
 1.31695207 1.31695015 1.31695403]",CCCCCCCCS
"[1.31695499 1.31695308 1.3169579  1.31695309 1.31695403 1.31695502
 1.31695408 1.31695209 1.31695114 1.31695408 1.31694917 1.3169579
 1.31695597 1.31695209 1.31695113 1.31695213 1.31695499 1.31695499
 1.31695314 1.3169579  1.31695597 1.31695693 1.31695597 1.3169579
 1.31695209 1.31695596 1.31695402 1.3169511  1.31695596 1.31695597
 1.31695499 1.31695209 1.31695209 1.31695213 1.31695013 1.31695693
 1.31695597 1.31694726 1.31695408 1.31695114 1.31695213 1.31695314
 1.31695597 1.31695314 1.31695213 1.31695209 1.31695408 1.31694822
 1.31695209 1.31695013 1.31695408]",CCCCCCCCC(=O)O
"[1.31695499 1.31695499 1.31695209 1.31695499 1.31695401 1.31695499
 1.31695597 1.31695401 1.316955   1.31695597 1.31695305 1.31695209
 1.31695208 1.31695596 1.31695499 1.31695403 1.31695111 1.31695308
 1.31695502 1.31695209 1.31695207 1.31695305 1.31695207 1.31695209
 1.3169579  1.31695403 1.31695403 1.31695693 1.31695403 1.31695208
 1.31695306 1.31695401 1.31695402 1.31695404 1.31695597 1.31695305
 1.31695208 1.31695314 1.31695597 1.31695305 1.31695403 1.31695502
 1.31695401 1.31695503 1.31695403 1.31695596 1.31695597 1.3169502
 1.31695402 1.3169521  1.31695597]",CC(=O)OCC1=CC=CC=C1
