Hyperbolic,SMILES
"[1.31695693 1.31695308 1.31695596 1.31695309 1.31695209 1.31695308
 1.31695408 1.31695209 1.31695114 1.31695408 1.31694917 1.31695596
 1.31695598 1.31695209 1.31695308 1.31695213 1.31695499 1.31695693
 1.31695314 1.31695596 1.31695597 1.31695693 1.31695597 1.31695596
 1.31695403 1.3169579  1.31695596 1.31695305 1.3169579  1.31695598
 1.316955   1.31695209 1.3169521  1.31695214 1.31695207 1.31695693
 1.31695598 1.3169492  1.31695408 1.31695114 1.31695213 1.31695314
 1.31695597 1.31695315 1.31695213 1.31695403 1.31695408 1.31694821
 1.3169521  1.31695014 1.31695408]",CCCCCCOC(=O)C
"[1.31695693 1.31695308 1.31695402 1.31695309 1.31695209 1.31695308
 1.31695408 1.31695209 1.31695114 1.31695408 1.31694917 1.31695402
 1.31695404 1.31695209 1.31695308 1.31695213 1.31695305 1.31695499
 1.31695314 1.31695402 1.31695403 1.31695499 1.31695403 1.31695402
 1.31695403 1.31695596 1.3169579  1.31695305 1.31695596 1.31695404
 1.316955   1.31695209 1.3169521  1.31695214 1.31695207 1.31695499
 1.31695404 1.3169492  1.31695408 1.31695114 1.31695213 1.31695314
 1.31695597 1.31695315 1.31695213 1.31695403 1.31695408 1.31694821
 1.3169521  1.31695014 1.31695408]",CCCCCOC(=O)CC
"[1.31695401 1.31695402 1.3169511  1.31695402 1.31695304 1.31695402
 1.31695501 1.31695304 1.31695403 1.31695501 1.31695207 1.3169511
 1.31695111 1.31695498 1.31695403 1.31695307 1.31695012 1.31695209
 1.31695407 1.3169511  1.3169511  1.31695207 1.3169511  1.3169511
 1.31695693 1.31695305 1.31695305 1.3169579  1.31695305 1.31695111
 1.31695207 1.31695304 1.31695305 1.31695308 1.31695499 1.31695207
 1.31695111 1.31695214 1.31695501 1.31695208 1.31695307 1.31695407
 1.31695304 1.31695408 1.31695307 1.31695499 1.31695501 1.31694919
 1.31695305 1.31695111 1.31695501]",C=CCOC(=O)CC1=CC=CC=C1
"[1.31695693 1.31695308 1.31695596 1.31695309 1.31695209 1.31695308
 1.31695408 1.31695209 1.31695114 1.31695408 1.31694917 1.31695596
 1.31695598 1.31695209 1.31695308 1.31695213 1.31695499 1.31695693
 1.31695314 1.31695596 1.31695597 1.31695693 1.31695597 1.31695596
 1.31695403 1.3169579  1.31695596 1.31695305 1.3169579  1.31695598
 1.316955   1.31695209 1.3169521  1.31695214 1.31695207 1.31695693
 1.31695598 1.3169492  1.31695408 1.31695114 1.31695213 1.31695314
 1.31695597 1.31695315 1.31695213 1.31695403 1.31695408 1.31694821
 1.3169521  1.31695014 1.31695408]",CCCCCCOC(=O)C
"[1.316955   1.31695305 1.31695597 1.31695305 1.31695207 1.31695305
 1.31695403 1.31695207 1.31695305 1.31695403 1.31695111 1.31695597
 1.3169579  1.31695207 1.31695305 1.31695403 1.31695693 1.31695503
 1.31695502 1.31695597 1.3169579  1.31695693 1.3169579  1.31695597
 1.31695208 1.31695598 1.31695404 1.31695111 1.31695598 1.3169579
 1.31695499 1.31695207 1.31695207 1.31695403 1.31695016 1.31695693
 1.3169579  1.31694733 1.31695403 1.31695305 1.31695403 1.31695502
 1.31695596 1.31695502 1.31695403 1.31695208 1.31695403 1.31694825
 1.31695207 1.31695015 1.31695403]",CCCCCCCCC=O
"[1.31695596 1.31695403 1.31695499 1.31695404 1.31695305 1.31695403
 1.31695502 1.31695305 1.31695209 1.31695502 1.31695013 1.31695499
 1.31695499 1.31695305 1.31695209 1.31695308 1.31695401 1.31695404
 1.31695408 1.31695499 1.31695499 1.31695596 1.31695499 1.31695499
 1.31695306 1.316955   1.316955   1.31695207 1.316955   1.31695499
 1.3169579  1.31695305 1.31695305 1.31695308 1.31695111 1.31695596
 1.31695499 1.31694826 1.31695502 1.31695209 1.31695308 1.31695407
 1.31695693 1.31695408 1.31695308 1.31695306 1.31695502 1.3169492
 1.31695305 1.31695111 1.31695502]",CCCCCC(=O)C=C
"[1.31695305 1.31695499 1.31695209 1.316955   1.31695401 1.31695499
 1.31695597 1.31695401 1.31695305 1.31695597 1.31695111 1.31695209
 1.31695207 1.31695401 1.31695304 1.31695403 1.31695111 1.31695114
 1.31695502 1.31695209 1.31695207 1.31695305 1.31695207 1.31695209
 1.31695401 1.31695209 1.31695209 1.31695304 1.31695209 1.31695207
 1.31695305 1.3169579  1.31695401 1.31695403 1.31695209 1.31695305
 1.31695207 1.31694927 1.31695597 1.31695305 1.31695403 1.31695502
 1.31695401 1.31695502 1.31695403 1.31695401 1.31695597 1.3169502
 1.31695401 1.31695209 1.31695597]",CC1=CC[C@H](CC1=O)C(=C)C
"[1.31695305 1.31695499 1.31695209 1.31695499 1.31695401 1.31695499
 1.31695597 1.31695401 1.31695305 1.31695597 1.31695111 1.31695209
 1.31695207 1.31695401 1.31695305 1.31695403 1.31695111 1.31695115
 1.31695502 1.31695209 1.31695207 1.31695305 1.31695207 1.31695209
 1.31695402 1.3169521  1.3169521  1.31695305 1.3169521  1.31695207
 1.31695305 1.31695401 1.3169579  1.31695403 1.3169521  1.31695305
 1.31695207 1.31694927 1.31695597 1.31695305 1.31695403 1.31695502
 1.31695401 1.31695502 1.31695403 1.31695402 1.31695597 1.31695214
 1.31695401 1.31695209 1.31695597]",CC(=CCC/C(=C/CO)/C)C
"[1.31695309 1.31695499 1.31695213 1.31695499 1.31695403 1.31695499
 1.31695595 1.31695403 1.31695499 1.31695595 1.31695308 1.31695213
 1.31695403 1.31695403 1.31695499 1.31695595 1.31695308 1.31695121
 1.31695693 1.31695213 1.31695403 1.31695308 1.31695403 1.31695213
 1.31695404 1.31695214 1.31695214 1.31695308 1.31695214 1.31695403
 1.31695308 1.31695403 1.31695403 1.3169579  1.31695214 1.31695308
 1.31695403 1.31694936 1.31695595 1.31695499 1.31695595 1.31695693
 1.31695403 1.31695693 1.31695595 1.31695404 1.31695595 1.31695028
 1.31695403 1.31695213 1.31695595]",CCC/C=C/C=O
"[1.31695305 1.31695308 1.31695013 1.31695308 1.31695209 1.31695308
 1.31695408 1.31695209 1.31695309 1.31695408 1.31695111 1.31695013
 1.31695016 1.31695403 1.31695308 1.31695213 1.31694917 1.31695111
 1.31695314 1.31695013 1.31695015 1.31695111 1.31695015 1.31695013
 1.31695597 1.31695207 1.31695207 1.31695499 1.31695207 1.31695016
 1.31695111 1.31695209 1.3169521  1.31695214 1.3169579  1.31695111
 1.31695016 1.31695502 1.31695408 1.31695114 1.31695213 1.31695314
 1.31695209 1.31695315 1.31695213 1.31695403 1.31695408 1.31694821
 1.3169521  1.31695014 1.31695408]",COC1=CC=CC=C1O
"[1.31695596 1.31695403 1.31695693 1.31695404 1.31695305 1.31695403
 1.31695502 1.31695305 1.31695209 1.31695502 1.31695013 1.31695693
 1.31695693 1.31695305 1.31695208 1.31695308 1.31695596 1.31695597
 1.31695408 1.31695693 1.31695693 1.3169579  1.31695693 1.31695693
 1.31695305 1.31695693 1.31695499 1.31695207 1.31695693 1.31695693
 1.31695596 1.31695305 1.31695305 1.31695308 1.31695111 1.3169579
 1.31695693 1.31694826 1.31695502 1.31695209 1.31695308 1.31695407
 1.31695693 1.31695408 1.31695308 1.31695305 1.31695502 1.3169492
 1.31695305 1.31695111 1.31695502]",CCCCCCCO
"[1.316955   1.31695305 1.31695597 1.31695305 1.31695207 1.31695305
 1.31695403 1.31695207 1.31695305 1.31695403 1.31695111 1.31695597
 1.3169579  1.31695207 1.31695305 1.31695403 1.31695693 1.31695503
 1.31695502 1.31695597 1.3169579  1.31695693 1.3169579  1.31695597
 1.31695208 1.31695598 1.31695404 1.31695111 1.31695598 1.3169579
 1.31695499 1.31695207 1.31695207 1.31695403 1.31695016 1.31695693
 1.3169579  1.31694733 1.31695403 1.31695305 1.31695403 1.31695502
 1.31695596 1.31695502 1.31695403 1.31695208 1.31695403 1.31694825
 1.31695207 1.31695015 1.31695403]",CCCCCCC=O
"[1.3169502  1.31695027 1.31694726 1.31695027 1.31694926 1.31695027
 1.31695129 1.31694926 1.31695028 1.31695129 1.31694826 1.31694726
 1.31694733 1.3169512  1.31695027 1.31694935 1.31694632 1.31694821
 1.31695038 1.31694726 1.31694732 1.31694826 1.31694732 1.31694726
 1.31695314 1.3169492  1.3169492  1.31695214 1.3169492  1.31694733
 1.31694826 1.31694927 1.31694927 1.31694936 1.31695502 1.31694826
 1.31694733 1.3169579  1.31695129 1.31694833 1.31694935 1.31695038
 1.31694926 1.31695039 1.31694935 1.3169512  1.31695129 1.31694529
 1.31694927 1.31694727 1.31695129]",COC(=O)C1=CC=CC=C1O
"[1.31695502 1.31695693 1.31695408 1.31695693 1.31695597 1.31695693
 1.3169579  1.31695597 1.31695499 1.3169579  1.31695308 1.31695408
 1.31695403 1.31695597 1.31695498 1.31695595 1.31695308 1.31695314
 1.31695693 1.31695408 1.31695403 1.31695502 1.31695403 1.31695408
 1.31695597 1.31695408 1.31695408 1.31695501 1.31695408 1.31695403
 1.31695502 1.31695597 1.31695597 1.31695595 1.31695408 1.31695502
 1.31695403 1.31695129 1.3169579  1.31695499 1.31695595 1.31695693
 1.31695597 1.31695693 1.31695595 1.31695597 1.3169579  1.31695221
 1.31695597 1.31695408 1.3169579 ]",C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C
"[1.31695209 1.31695401 1.31695114 1.31695401 1.31695305 1.31695401
 1.31695499 1.31695305 1.31695401 1.31695499 1.31695209 1.31695114
 1.31695305 1.31695305 1.31695401 1.31695499 1.31695403 1.31695019
 1.31695597 1.31695114 1.31695305 1.31695209 1.31695305 1.31695114
 1.31695305 1.31695114 1.31695114 1.31695208 1.31695114 1.31695305
 1.31695209 1.31695305 1.31695305 1.31695499 1.31695114 1.31695209
 1.31695305 1.31694833 1.31695499 1.3169579  1.31695499 1.31695597
 1.31695305 1.31695597 1.31695499 1.31695305 1.31695499 1.31694926
 1.31695305 1.31695114 1.31695499]",CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]
"[1.31695308 1.31695499 1.31695213 1.31695499 1.31695403 1.31695499
 1.31695595 1.31695403 1.31695499 1.31695595 1.31695308 1.31695213
 1.31695403 1.31695403 1.31695498 1.31695595 1.31695308 1.3169512
 1.31695693 1.31695213 1.31695403 1.31695308 1.31695403 1.31695213
 1.31695403 1.31695213 1.31695213 1.31695307 1.31695213 1.31695403
 1.31695308 1.31695403 1.31695403 1.31695595 1.31695213 1.31695308
 1.31695403 1.31694935 1.31695595 1.31695499 1.3169579  1.31695693
 1.31695403 1.31695693 1.31695595 1.31695403 1.31695595 1.31695027
 1.31695403 1.31695213 1.31695595]",CSSC
"[1.31695407 1.31695597 1.31695314 1.31695597 1.31695502 1.31695597
 1.31695693 1.31695502 1.31695597 1.31695693 1.31695407 1.31695314
 1.31695502 1.31695502 1.31695596 1.31695693 1.31695408 1.31695221
 1.3169579  1.31695314 1.31695502 1.31695407 1.31695502 1.31695314
 1.31695502 1.31695314 1.31695314 1.31695407 1.31695314 1.31695502
 1.31695407 1.31695502 1.31695502 1.31695693 1.31695314 1.31695407
 1.31695502 1.31695038 1.31695693 1.31695597 1.31695693 1.3169579
 1.31695502 1.3169579  1.31695693 1.31695502 1.31695693 1.31695129
 1.31695502 1.31695314 1.31695693]",CSSCC1=CC=CO1
"[1.31695693 1.31695499 1.31695597 1.316955   1.31695401 1.31695499
 1.31695597 1.31695401 1.31695305 1.31695597 1.31695111 1.31695597
 1.31695596 1.31695401 1.31695304 1.31695403 1.31695499 1.31695502
 1.31695502 1.31695597 1.31695596 1.31695693 1.31695596 1.31695597
 1.31695401 1.31695597 1.31695597 1.31695304 1.31695597 1.31695596
 1.31695693 1.31695401 1.31695401 1.31695403 1.31695209 1.31695693
 1.31695596 1.31694926 1.31695597 1.31695305 1.31695403 1.31695502
 1.3169579  1.31695502 1.31695403 1.31695401 1.31695597 1.3169502
 1.31695401 1.31695209 1.31695597]",CCCCCO
"[1.31695408 1.31695597 1.31695314 1.31695597 1.31695502 1.31695597
 1.31695693 1.31695502 1.31695597 1.31695693 1.31695408 1.31695314
 1.31695502 1.31695502 1.31695597 1.31695693 1.31695408 1.31695222
 1.3169579  1.31695314 1.31695502 1.31695408 1.31695502 1.31695314
 1.31695503 1.31695315 1.31695315 1.31695408 1.31695315 1.31695502
 1.31695408 1.31695502 1.31695502 1.31695693 1.31695315 1.31695408
 1.31695502 1.31695039 1.31695693 1.31695597 1.31695693 1.3169579
 1.31695502 1.3169579  1.31695693 1.31695503 1.31695693 1.31695129
 1.31695502 1.31695314 1.31695693]",CCC=O
"[1.31695308 1.31695499 1.31695213 1.31695499 1.31695403 1.31695499
 1.31695595 1.31695403 1.31695499 1.31695595 1.31695308 1.31695213
 1.31695403 1.31695403 1.31695498 1.31695595 1.31695308 1.3169512
 1.31695693 1.31695213 1.31695403 1.31695308 1.31695403 1.31695213
 1.31695403 1.31695213 1.31695213 1.31695307 1.31695213 1.31695403
 1.31695308 1.31695403 1.31695403 1.31695595 1.31695213 1.31695308
 1.31695403 1.31694935 1.31695595 1.31695499 1.31695595 1.31695693
 1.31695403 1.31695693 1.3169579  1.31695403 1.31695595 1.31695027
 1.31695403 1.31695213 1.31695595]",C1=CN=CC=N1
"[1.31695499 1.31695693 1.31695209 1.31695499 1.31695596 1.31695499
 1.31695597 1.31695401 1.31695305 1.31695597 1.31695111 1.31695209
 1.31695208 1.31695401 1.31695499 1.31695403 1.31695111 1.31695308
 1.31695502 1.31695209 1.31695207 1.31695305 1.31695207 1.31695209
 1.31695596 1.31695403 1.31695403 1.31695499 1.31695403 1.31695208
 1.31695306 1.31695401 1.31695402 1.31695404 1.31695403 1.31695305
 1.31695208 1.3169512  1.31695597 1.31695305 1.31695403 1.31695502
 1.31695401 1.31695503 1.31695403 1.3169579  1.31695597 1.3169502
 1.31695402 1.3169521  1.31695597]",CC(C)CCOC(=O)C
"[1.31695502 1.31695693 1.31695408 1.31695693 1.31695597 1.31695693
 1.3169579  1.31695597 1.31695499 1.3169579  1.31695308 1.31695408
 1.31695403 1.31695597 1.31695498 1.31695595 1.31695308 1.31695314
 1.31695693 1.31695408 1.31695403 1.31695502 1.31695403 1.31695408
 1.31695597 1.31695408 1.31695408 1.31695501 1.31695408 1.31695403
 1.31695502 1.31695597 1.31695597 1.31695595 1.31695408 1.31695502
 1.31695403 1.31695129 1.3169579  1.31695499 1.31695595 1.31695693
 1.31695597 1.31695693 1.31695595 1.31695597 1.3169579  1.31695221
 1.31695597 1.31695408 1.3169579 ]",CCC(=O)O
"[1.3169492  1.3169512  1.31694822 1.3169512  1.3169502  1.31695121
 1.31695221 1.3169502  1.31694926 1.31695221 1.31695114 1.31694822
 1.31694825 1.3169502  1.31694926 1.31695027 1.31694726 1.31694723
 1.31695129 1.31694822 1.31694826 1.3169492  1.31694826 1.31694822
 1.3169502  1.31694821 1.31694821 1.31694919 1.31694821 1.31694825
 1.3169492  1.3169502  1.31695214 1.31695028 1.31694821 1.3169492
 1.31694825 1.31694529 1.31695221 1.31694926 1.31695027 1.31695129
 1.3169502  1.31695129 1.31695027 1.3169502  1.31695221 1.3169579
 1.3169502  1.31694821 1.31695221]",C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)CC[C@]34CO
"[1.31695306 1.31695499 1.31695209 1.31695499 1.31695401 1.31695499
 1.31695597 1.31695401 1.31695305 1.31695597 1.31695111 1.31695209
 1.31695207 1.31695401 1.31695305 1.31695403 1.31695111 1.31695115
 1.31695502 1.31695209 1.31695207 1.31695305 1.31695207 1.31695209
 1.31695402 1.3169521  1.3169521  1.31695305 1.3169521  1.31695207
 1.31695305 1.31695401 1.31695401 1.31695403 1.3169521  1.31695305
 1.31695207 1.31694927 1.31695597 1.31695305 1.31695403 1.31695502
 1.31695401 1.31695502 1.31695403 1.31695402 1.31695597 1.3169502
 1.3169579  1.31695597 1.31695597]",CC1=C(C(CCC1)(C)C)/C=C/C(=O)C
"[1.31695112 1.31695308 1.31695013 1.31695308 1.31695209 1.31695308
 1.31695408 1.31695209 1.31695114 1.31695408 1.31694917 1.31695013
 1.31695015 1.31695209 1.31695114 1.31695213 1.31694917 1.31694918
 1.31695314 1.31695013 1.31695015 1.31695111 1.31695015 1.31695013
 1.3169521  1.31695014 1.31695014 1.31695111 1.31695014 1.31695015
 1.31695111 1.31695209 1.31695209 1.31695213 1.31695014 1.31695111
 1.31695015 1.31694727 1.31695408 1.31695114 1.31695213 1.31695314
 1.31695209 1.31695314 1.31695213 1.3169521  1.31695408 1.31694821
 1.31695597 1.3169579  1.31695408]",CC1=CCCC(C1/C=C/C(=O)C)(C)C
"[1.31695502 1.31695693 1.31695408 1.31695693 1.31695597 1.31695693
 1.3169579  1.31695597 1.31695499 1.3169579  1.31695308 1.31695408
 1.31695403 1.31695597 1.31695498 1.31695595 1.31695308 1.31695314
 1.31695693 1.31695408 1.31695403 1.31695502 1.31695403 1.31695408
 1.31695597 1.31695408 1.31695408 1.31695501 1.31695408 1.31695403
 1.31695502 1.31695597 1.31695597 1.31695595 1.31695408 1.31695502
 1.31695403 1.31695129 1.3169579  1.31695499 1.31695595 1.31695693
 1.31695597 1.31695693 1.31695595 1.31695597 1.3169579  1.31695221
 1.31695597 1.31695408 1.3169579 ]",CC(=O)[O-]
